No.,Music(Eng),Music(JPN),Other name,Artist(Eng),Artist(JPN),BPM,Category,Version,Requirement,Easy,Basic,Advanced,Expert,Master,Re:Master,Add Date,Later Add Date,Rec. video,Memo,↓,Music(Eng),Music(JPN),Other name,Artist(Eng),Artist(JPN),BPM,Category,Version,Requirement,Easy,Basic,Advanced,Expert,Master,Re:Master,Add Date,Later Add Date,Memo,↑
54,7 Girls War,7 Girls War,-,"Wake Up, Girls！","Wake Up, Girls！",180,POPS&アニメ,maimai MURASAKi,-,2,4,7,8+,10,-,23-Mar-2017,-,Yes,removal candidate,,Falling Roses,Falling Roses,-,Shingancrimsonz“SHOW BY ROCK!!”,シンガンクリムゾンズ「SHOW BY ROCK!!」,200,POPS&アニメ,maimai PiNK,-,3,5,7+,9,12,-,3-Mar-2016,-,Removed(maimai MiLK),
55,-,Jumping!!,-,-,大宮 忍/アリス・カータレット/小路 綾/猪熊 陽子/九条 カレン「きんいろモザイク」,175,POPS&アニメ,maimai MURASAKi,-,2,4,6,8,10+,-,23-Mar-2017,-,-,removal candidate,,YOUKAI TAISOU No.1,ようかい体操第一,-,Dream5「Yokai-Watch」,Dream5「妖怪ウォッチ」,125,POPS&アニメ,maimai PiNK PLUS,-,1,3,6,7,8+,-,11-Aug-2016,-,Removed(maimai MiLK PLUS),
56,-,ゆりゆららららゆるゆり大事件,Yuru Yuri Daijiken,-,七森中☆ごらく部「ゆるゆり」,175,POPS&アニメ,maimai MURASAKi,-,2,4,6,7,10+,-,15-Dec-2016,-,-,removal candidate,,Gera Gera Po no Uta,ゲラゲラポーのうた,-,KING CREAMSODA“Yokai-Watch”,キング・クリームソーダ「妖怪ウォッチ」,120,POPS&アニメ,maimai PiNK,-,1,3,5,7,9+,-,10-Dec-2015,-,Removed(maimai MiLK PLUS),
57,-,いぇす！ゆゆゆ☆ゆるゆり♪♪,-,-,七森中☆ごらく部「ゆるゆり♪♪」,182,POPS&アニメ,maimai MURASAKi,-,2,4,7,9,11,-,10-Jan-2017,-,-,removal candidate,,Scatman (Ski Ba Bop Ba Dop Bop),Scatman (Ski Ba Bop Ba Dop Bop),-,Scatman John,Scatman John,136,POPS&アニメ,maimai PiNK PLUS,-,1,4,6,10,11,-,20-Oct-2016,-,Removed(maimai MiLK PLUS),
58,-,ちょちょちょ！ゆるゆり☆かぷりっちょ！！！,-,-,七森中☆ごらく部「ゆるゆり さん☆ハイ！」,190,POPS&アニメ,maimai MURASAKi,-,2,4,6,9,11,-,10-Jan-2017,-,-,removal candidate,,Den Den Passion,でんでんぱっしょん,-,DEMPAGUMI.Inc,でんぱ組.inc,186,POPS&アニメ,maimai PiNK,-,2,4,7,8,11,-,10-Dec-2015,-,Removed(maimai MiLK PLUS),
59,FA TOSHITE TOGENKYO,ファッとして桃源郷,-,Kanae Shinjo(CV:Suzuko Mimori)“tekyu”,新庄かなえ(CV:三森すずこ)「てーきゅう」,160,POPS&アニメ,maimai MURASAKi,-,2,4,6,8+,11+,-,15-Dec-2016,-,-,-,,Dragon Night,Dragon Night,-,SEKAI NO OWARI,SEKAI NO OWARI,124,POPS&アニメ,maimai PiNK,-,1,4,5,8,10,-,10-Dec-2015,-,Removed(maimai MiLK PLUS),
60,-,回レ！雪月花,Maware! Setsugetsuka,-,歌組雪月花 夜々(原田ひとみ)/いろり(茅野愛衣)/小紫(小倉唯)「機巧少女は傷つかない」,160,POPS&アニメ,maimai MURASAKi,-,2,4,7,9,12,-,15-Dec-2016,-,-,Japan only,,Luminize,Luminize,-,fripSide“Future Card Buddyfight 100”,fripSide「フューチャーカード バディファイト ハンドレッド」,140,POPS&アニメ,maimai PiNK,-,1,4,6,8,9+,-,7-Jan-2016,-,Removed(maimai MiLK PLUS),
61,-,ホシトハナ,hoshitohana,-,讃州中学勇者部「結城友奈は勇者である」,158,POPS&アニメ,maimai MURASAKi PLUS,-,2,4,6,9,11,-,9-Nov-2017,-,-,Japan only,,HIMITSUNO DOOR KARA AINI KITE,秘密の扉から会いに来て,-,Yukari Tamura“NOURIN”,田村 ゆかり「のうりん」,184,POPS&アニメ,maimai PiNK,-,2,4,6,8,11,-,7-Jan-2016,-,Removed(maimai MiLK PLUS),
62,-,Paradisus-Paradoxum,-,-,MYTH & ROID「Re：ゼロから始める異世界生活」,201,POPS&アニメ,maimai MURASAKi PLUS,-,2,4,7,9,12,-,22-Jun-2017,-,-,Japan only,,Touch Tap Baby,Touch Tap Baby,-,Hacka Doll ,ハッカドール,152,POPS&アニメ,maimai PiNK,-,2,4,6,7+,10,-,10-Dec-2015,-,Removed(maimai MiLK PLUS),
63,-,SAKURAスキップ,Sakura Skip,-,fourfolium「NEW GAME!」,165,POPS&アニメ,maimai MURASAKi PLUS,-,2,4,6,7+,10+,-,22-Jun-2017,-,-,Japan only,,ICHIZURESHIPI,イチズレシピ,Ichizu Recipe,idol college“I am matter made Getz Bros. as “general public sample” in young lady school”,アイドルカレッジ「俺がお嬢様学校に「庶民サンプル」としてゲッツされた件」,170,POPS&アニメ,maimai PiNK PLUS,-,2,4,7,8,10+,-,14-Jul-2016,-,Removed(maimai FiNALE),
64,-,Now Loading!!!!,-,-,fourfolium「NEW GAME!」,193,POPS&アニメ,maimai MURASAKi PLUS,-,2,4,7,8+,11,-,25-Jul-2017,-,-,Japan only,,Friend Shitai,ふ・れ・ん・ど・し・た・い,-,Gakuen Seikatsubu“SCHOOL-LIVE!”,学園生活部「がっこうぐらし！」,148,POPS&アニメ,maimai PiNK PLUS,-,2,4,6,7,10+,11,14-Jul-2016,17-Apr-2018,Removed(maimai FiNALE),
65,-,fantastic dreamer,-,-,Machico「この素晴らしい世界に祝福を！」,185,POPS&アニメ,maimai MiLK,-,3,4,6,8+,11,-,17-Apr-2018,-,-,Japan only,,Sora no Uta,未来(ソラ)の歌,-,"Questy ""POP IN Q""",讃州中学勇者部「結城友奈は勇者である」,153,POPS&アニメ,maimai MURASAKi PLUS,-,2,4,6,8,11,-,9-Nov-2017,-,Removed(maimai FiNALE),
66,-,ガヴリールドロップキック,-,-,ガヴリール（富田美憂），ヴィーネ（大西沙織），サターニャ（大空直美），ラフィエル（花澤香菜）「ガヴリールドロップアウト」,168,POPS&アニメ,maimai MiLK,-,2,4,7,8,11+,-,17-Apr-2018,-,-,Japan only,,Himitsuwo Chodai ,ひみつをちょーだい,-,ARSMAGNA,アルスマグナ,160,niconico&ボーカロイド,maimai PiNK,-,2,4,6,7+,9+,-,10-Dec-2015,-,Removed(maimai FiNALE),
67,girigiri saikyou Ai Mai Mi!,ギリギリ最強あいまいみー！,-,"Ai ""Yuka Otsubo""  Mai ""Aya Uchida""  Mi ""Maya Uchida""",愛(C.V.大坪由佳) 麻衣(C.V.内田彩) ミイ(C.V.内田真礼)「あいまいみー」,185,POPS&アニメ,maimai MiLK,-,2,5,7,9,12+,-,20-Feb-2018,-,Yes,-,,NATSUNI KISU SHITE IIDESUKA?,夏にキスしていいですか？,-,ARSMAGNA,アルスマグナ,160,niconico&ボーカロイド,maimai PiNK PLUS,-,2,5,6,7+,10+,-,30-Jun-2016,-,Removed(maimai FiNALE),
68,-,Los! Los! Los!,-,-,ターニャ・デグレチャフ(CV.悠木碧)「幼女戦記」,240,POPS&アニメ,maimai MiLK,-,3,4,7,9+,11+,-,23-Jan-2018,-,-,Japan only,,,,,,,,,,,,,,,,,,,,
69,-,This game,-,-,鈴木このみ「ノーゲーム・ノーライフ」,147,POPS&アニメ,maimai MiLK,-,2,4,6,9+,12,-,23-Jan-2018,-,-,Japan only,,,,,,,,,,,,,,,,,,,,
70,-,あ・え・い・う・え・お・あお!!,-,-,劇団ひととせ「ひなこのーと」,145,POPS&アニメ,maimai MiLK,-,3,5,7+,9,12,-,14-Dec-2017,-,-,Japan only,,,,,,,,,,,,,,,,,,,,
71,Kouganinpouchou,甲賀忍法帖,-,ONMYO-ZA,陰陽座,178,POPS&アニメ,maimai MiLK PLUS,-,2,4,6,9,10+,11+,6-Nov-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
72,Arrival of Tears,Arrival of Tears,-,Ayane,彩音,200,POPS&アニメ,maimai MiLK PLUS,-,3,4,6,9,12,-,4-Sep-2018,-,-,-,,,,,,,,,,,,,,,,,,,,
73,-,全力☆Summer!,Zenryoku☆Summer!,-,angela「アホガール」,158,POPS&アニメ,maimai MiLK PLUS,-,2,4,6,8+,10+,11+,18-Sep-2018,-,-,Japan only,,,,,,,,,,,,,,,,,,,,
74,-,POP TEAM EPIC,-,-,上坂すみれ「ポプテピピック」,142,POPS&アニメ,maimai MiLK PLUS,-,1,4,6,8,10+,12+,21-Jun-2018,-,-,Japan only,,,,,,,,,,,,,,,,,,,,
75,Shuuten,終点,-,cosMo@Bousou-P,cosMo@暴走P,222,niconico&ボーカロイド,maimai FiNALE,-,3,5,7+,10+,12+,-,6-Jun-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
76,"The ""Wanderlast""",ワンダーラスト,-,sasakure.UK,sasakure.UK,230,niconico&ボーカロイド,maimai FiNALE,-,3,5,7+,10+,12+,-,6-Jun-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
77,WORLD'S END UMBRELLA,WORLD'S END UMBRELLA,-,Hachi,ハチ,180,niconico&ボーカロイド,maimai FiNALE,-,2,4,7,8+,11,-,6-Jun-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
78,The Defeated Boy,敗北の少年,-,kemu,kemu,185,niconico&ボーカロイド,maimai FiNALE,-,3,5,7+,10,12,-,26-Apr-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
79,Okinimesumama,お気に召すまま,As You Like It,Eve,Eve,143,niconico&ボーカロイド,maimai FiNALE,-,2,4,7,8+,10,12,26-Apr-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
80,No Entry,立ち入り禁止,No Trespassing,Mafumafu,まふまふ,160,niconico&ボーカロイド,maimai FiNALE,-,3,4,6,9+,10+,12+,26-Apr-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
81,inochi bakkari,命ばっかり,-,nulut,ぬゆり,128,niconico&ボーカロイド,maimai FiNALE,-,2,3,6,8,11+,-,26-Apr-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
82,Close and Open Demons and the Dead,結ンデ開イテ羅刹ト骸,-,Hachi,ハチ,169,niconico&ボーカロイド,maimai FiNALE,-,2,4,7,9,11,12,25-Jan-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
83,Butterfly on your Right Shoulder,右肩の蝶,-,noripy,のりP,140,niconico&ボーカロイド,maimai FiNALE,-,2,4,6,9+,12,-,25-Jan-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
84,sound,サウンド,-,baker,baker,160,niconico&ボーカロイド,maimai FiNALE,-,2,4,6,8,11,-,25-Jan-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
85,Colorful x Melody,カラフル×メロディ,-,Team MOER,ちーむMOER,185,niconico&ボーカロイド,maimai FiNALE,-,2,5,7,9+,11+,-,25-Jan-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
86,Nightmare Party Night,ナイトメア☆パーティーナイト,-,Kuchibashi P,くちばしP,175,niconico&ボーカロイド,maimai FiNALE,-,3,4,7,9,10+,11+,11-Jan-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
87,Grumpy Waltz,フキゲンワルツ,Bad Mood Waltz,OSTER project,OSTER project,210,niconico&ボーカロイド,maimai FiNALE,-,3,5,7,8+,12,-,11-Jan-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
88,Unrequited Love Samba,片想いサンバ,-,Owata P,オワタP,150,niconico&ボーカロイド,maimai FiNALE,-,3,5,6,9+,12,-,11-Jan-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
89,MagicalSoundShower,Magical Sound Shower,-,HIRO/Kusemono P,HIRO/曲者P,120,niconico&ボーカロイド,maimai FiNALE,-,3,5,7,9,12,-,11-Jan-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
90,GoldenHolyNightRottingintotheFrostandSnow,金の聖夜霜雪に朽ちて,-,Deadball P,デッドボールP,185,niconico&ボーカロイド,maimai FiNALE,-,3,5,7+,9+,11+,-,25-Dec-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
91,ROKI,ロキ,-,mikitoP,みきとP,150,niconico&ボーカロイド,maimai FiNALE,-,2,4,7,9,10+,12,13-Dec-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
92,HIBANA,ヒバナ,-,DECO*27,DECO*27,200,niconico&ボーカロイド,maimai FiNALE,-,3,4,7,9+,10+,11+,13-Dec-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
93,Role-playing game,ロールプレイングゲーム,-,Soramafuurasaka,そらまふうらさか,162,niconico&ボーカロイド,maimai FiNALE,-,2,4,6,8+,11,-,13-Dec-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
94,I wanna be it!,はやくそれになりたい！,-,Kinoshita feat. Otomachi Una,キノシタ feat. 音街ウナ,185,niconico&ボーカロイド,maimai MiLK PLUS,-,3,5,7,9,10+,12,20-Nov-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
95,Fixer,フィクサー,-,nuyuri,ぬゆり,135,niconico&ボーカロイド,maimai MiLK PLUS,-,2,4,6,8+,12,-,20-Nov-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
96,This Messed-Up Wonderful World Exists For Me,このふざけた素晴らしき世界は、僕の為にある,-,n.k,n.k,152,niconico&ボーカロイド,maimai MiLK PLUS,-,2,4,6,9,11+,-,20-Nov-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
97,Miracle Paint,ミラクルペイント,-,OSTER project,OSTER project,215,niconico&ボーカロイド,maimai MiLK PLUS,-,3,4,6,9,12,-,21-Aug-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
98,Electric Angel,えれくとりっく・えんじぇぅ,-,Yasuo,ヤスオ,150,niconico&ボーカロイド,maimai MiLK PLUS,-,2,4,7,8+,10+,-,21-Aug-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
99,Ievan Polkka,Ievan Polkka,-,Otomania feat. Hatsune Miku,Otomania feat. 初音ミク,119,niconico&ボーカロイド,maimai MiLK PLUS,-,1,3,6,10+,12,-,21-Aug-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
100,BURIKI NO DANCE,ブリキノダンス,-,hinata denko,日向電工,172,niconico&ボーカロイド,maimai MiLK PLUS,-,3,5,7,9,11,12,7-Aug-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
101,ONEgai Darlin',おねがいダーリン,-,ONE (song by Nanahoshi Kangen Gakudan),ONE (song by ナナホシ管弦楽団),180,niconico&ボーカロイド,maimai MiLK PLUS,-,2,4,6,9+,11+,-,7-Aug-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
102,Seyana. ~AKANE's anything ok~,Seyana. ～何でも言うことを聞いてくれるアカネチャン～,-,GYARI,GYARI,144,niconico&ボーカロイド,maimai MiLK PLUS,-,3,4,6,9,12,-,21-Jun-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
103,Invisible,インビジブル,-,kemu,kemu,192,niconico&ボーカロイド,maimai MiLK PLUS,-,3,5,7,9+,10+,12+,7-Aug-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
104,DEAR DOPPELGANGER,拝啓ドッペルゲンガー,-,kemu,kemu,181,niconico&ボーカロイド,maimai MiLK,-,3,5,7+,10,12,-,14-Dec-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
105,Life Reset Button,人生リセットボタン,Jinsei Reset Button,kemu,kemu,200,niconico&ボーカロイド,maimai MiLK,-,3,5,7+,10,12+,-,6-Feb-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
106,reincarnation,リンカーネイション,-,kemu,kemu,185,niconico&ボーカロイド,maimai MURASAKi PLUS,-,3,5,7,9+,12,-,22-Jun-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
107,Six Trillion Years and Overnight Story,六兆年と一夜物語,Roku Chounen to Ichiya Monogatari,kemu,kemu,186,niconico&ボーカロイド,maimai ORANGE PLUS,-,3,5,7,9,12,-,16-Jul-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
108,Comet Honeymoon,彗星ハネムーン,-,Nayutalien,ナユタン星人,145,niconico&ボーカロイド,maimai MiLK PLUS,-,2,4,6,8+,11,-,7-Aug-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
109,Dance Robot Dance,ダンスロボットダンス,-,Nayutalien,ナユタン星人,190,niconico&ボーカロイド,maimai MiLK,-,3,5,7,9+,12,-,20-Mar-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
110,Alien Alien,エイリアンエイリアン,-,Nayutalien,ナユタン星人,152,niconico&ボーカロイド,maimai MURASAKi PLUS,-,2,4,7,8+,11,-,21-Nov-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
111,Perfect Life,パーフェクト生命,-,Nayutan Seijin,ナユタン星人,200,niconico&ボーカロイド,maimai PiNK PLUS,-,3,5,7,8+,12,-,14-Jul-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
112,Freedom Lolita,フリィダム ロリィタ,-,Nejishiki,ねじ式,150,niconico&ボーカロイド,maimai MiLK,-,2,4,6,8+,11+,-,5-Jun-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
113,Shiawase ni Nareru Kakushi Command ga Arurashii,幸せになれる隠しコマンドがあるらしい,It Seems Like There's A Secret Command To Becoming Happy,UtataP,うたたP,142,niconico&ボーカロイド,maimai MURASAKi PLUS,-,3,5,8,10+,12+,-,21-Nov-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
114,Shinebaiinoni,しねばいいのに,-,dBu,どぶウサギ,138,niconico&ボーカロイド,maimai MiLK,-,2,4,6,8+,11+,-,6-Feb-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
115,The Snow White Princess is,白い雪のプリンセスは,-,Noboru↑,のぼる↑,200,niconico&ボーカロイド,maimai MiLK,-,2,5,7,9+,11+,-,9-Jan-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
116,Kire Kyari On,キレキャリオン,Kire Carry On,Police Piccadilly,ポリスピカデリー,170,niconico&ボーカロイド,maimai MiLK,-,2,4,6,8+,11+,-,20-Mar-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
117,Monologue,ドクハク,Dokuhaku,MARETU,MARETU,208,niconico&ボーカロイド,maimai MiLK,-,2,5,6,9,12,-,20-Mar-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
118,Arukari Rettousei,アルカリレットウセイ,Alkali Rettousei,Kairiki Bear,かいりきベア,158,niconico&ボーカロイド,maimai MiLK,-,2,4,6,9,11,-,20-Mar-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
119,fragile,フラジール,-,nuyuri,ぬゆり,127,niconico&ボーカロイド,maimai MURASAKi PLUS,-,1,4,7,8,11+,-,21-Nov-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
120,CHIGAU!!!,ちがう!!!,-,CarlosHakamada (SaizeP),カルロス袴田(サイゼP),181,niconico&ボーカロイド,maimai MURASAKi PLUS,-,3,5,7,9,12,-,25-Jul-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
121,MEITANTEIRENZOKUSATSUJINJIKEN,名探偵連続殺人事件,-,teniwoha,てにをは,140,niconico&ボーカロイド,maimai MURASAKi PLUS,-,2,5,6,9+,11,-,21-Nov-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
122,Tokyo Retro,東京レトロ,-,Scop,すこっぷ,126,niconico&ボーカロイド,maimai MURASAKi PLUS,-,1,4,6,8,10,-,25-Jul-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
123,ARROW,ARROW,-,niki,niki,131,niconico&ボーカロイド,maimai MURASAKi PLUS,-,2,4,6,10,12,-,25-Jul-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
124,healthy end,ヘルシーエンド,-,siinamota(powapowaP),椎名もた (ぽわぽわP),150,niconico&ボーカロイド,maimai MURASAKi PLUS,-,2,4,7,9+,11+,-,25-Jul-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
125,The Lamentations of the Lost Ones ,ロストワンの号哭,The Lost One's Weeping,Neru,Neru,162,niconico&ボーカロイド,maimai ORANGE PLUS,-,2,4,6,9,12,12+,19-Mar-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
126,Senbon Zakura,千本桜,-,KurousaP,黒うさP,154,niconico&ボーカロイド,maimai PLUS,-,2,4,7,9,12,-,13-Dec-2012,-,Yes,-,,,,,,,,,,,,,,,,,,,,
127,Chururira • Chururira • Daddadda! ,チュルリラ・チュルリラ・ダッダッダ！,-,Takeaki Wada(KurageP),和田たけあき(くらげP),220,niconico&ボーカロイド,maimai MURASAKi,-,2,5,7,9,12,-,24-Jan-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
128,KIMINO YOZORA SHOUKAIHAN,キミノヨゾラ哨戒班,Your Night Sky Patrol ; Night Sky Patrol of Tomorrow,Orangestar,Orangestar,185,niconico&ボーカロイド,maimai PiNK PLUS,-,2,4,7,9,11+,-,30-Jun-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
129,Star Night Snow,スターナイトスノウ,-,n-buna × Orangestar,n-buna × Orangestar,180,niconico&ボーカロイド,maimai MiLK,-,2,4,6,8+,10+,-,9-Jan-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
130,Umiyuri Kaiteitan,ウミユリ海底譚,-,n-buna,n-buna,120,niconico&ボーカロイド,maimai ORANGE PLUS,-,2,4,6,8,12,-,14-May-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
131,Shirayuki,白ゆき,-,n-buna,n-buna,210,niconico&ボーカロイド,maimai MURASAKi PLUS,-,2,5,7,9+,12,-,21-Nov-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
132,The Intense Singing of Hatsune Miku,初音ミクの激唱,Hatsune Miku No Gekishou,Storyteller,Storyteller,200,niconico&ボーカロイド,maimai MiLK PLUS,-,3,6,8,10+,13,-,9-Aug-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
133,The Disappearance of Hatsune Miku,初音ミクの消失,DEAD END,cosMo@Bousou-P,cosMo＠暴走P,240,niconico&ボーカロイド,maimai PiNK,-,3,5,8,10,12+,-,10-Dec-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
134,amanojaku,天ノ弱,A Born Coward,164,164,200,niconico&ボーカロイド,maimai GreeN,-,3,5,7,9,11+,-,23-Jan-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
135,Young disease outburst Boy,厨病激発ボーイ,CHUBYOUGEKIHATSU-BOY,rerulili,れるりり,190,niconico&ボーカロイド,maimai PiNK,-,3,5,7,9,12,-,21-Jan-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
136,nou shou sakuretsu girl,脳漿炸裂ガール,Spinal Fluid Explosion Girl,rerulili,れるりり,155,niconico&ボーカロイド,maimai GreeN,-,3,4,6,11,12+,-,11-Jul-2013,-,Yes,-,,,,,,,,,,,,,,,,,,,,
137,Hibikase,ヒビカセ,-,GigaReol,GigaReol,140,niconico&ボーカロイド,maimai MiLK PLUS,-,2,4,7,9+,12,-,9-Aug-2018,-,-,-,,,,,,,,,,,,,,,,,,,,
138,＋♂,＋♂,plus danshi ; plus boy,Giga/Reol dance ARSMAGNA,ギガ/れをる　ダンス　アルスマグナ,180,niconico&ボーカロイド,maimai PiNK,-,3,5,7,9,12,-,10-Dec-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
139,Okocyama Sensou,おこちゃま戦争,Childish War,Giga/Reol,ギガ/れをる,175,niconico&ボーカロイド,maimai ORANGE,-,2,4,6,9,12,-,18-Sep-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
140,Getting Faster and Faster,だんだん早くなる,-,40mP,40mP,160,niconico&ボーカロイド,maimai MURASAKi,-,2,4,7,8+,10+,11,18-Apr-2017,9-Jan-2018,Yes,-,,,,,,,,,,,,,,,,,,,,
141,Love Trial,恋愛裁判,Renai Saiban,40mP,40mP,134,niconico&ボーカロイド,maimai PiNK PLUS,-,2,4,6,8,10,-,30-Jun-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
142,Karakuri Pierrot,からくりピエロ,-,40mP,40mP,102,niconico&ボーカロイド,maimai GreeN PLUS,-,1,3,5,8+,10,11+,17-Jul-2014,8-Sep-2016,Yes,-,,,,,,,,,,,,,,,,,,,,
143,MKDR,妄想感傷代償連盟,Mousou Kanshou Daishou Renmei,DECO*27,DECO*27,110,niconico&ボーカロイド,maimai MiLK PLUS,-,2,3,6,8,10,12,21-Jun-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
144,Ghost Rule,ゴーストルール,-,DECO*27,DECO*27,210,niconico&ボーカロイド,maimai MURASAKi,-,3,5,7+,9,12,-,15-Dec-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
145,Ojamamushi,おじゃま虫,Stickybug,DECO*27,DECO*27,143,niconico&ボーカロイド,maimai ORANGE PLUS,-,1,3,6,8,10+,-,17-Sep-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
146,Streaming Heart,ストリーミングハート,-,DECO*27,DECO*27,210,niconico&ボーカロイド,maimai ORANGE PLUS,-,3,4,7,9,12,-,17-Sep-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
147,Delusion Tax,妄想税,-,DECO*27,DECO*27,134,niconico&ボーカロイド,maimai ORANGE PLUS,-,2,4,6,9,10,-,14-May-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
148,DOKUSENYOKU,毒占欲,Mono Poisoner,DECO*27,DECO*27,117,niconico&ボーカロイド,maimai ORANGE,-,2,5,7,9,12,-,13-Nov-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
149,Mukashi Mukashi no Kyou no Boku,むかしむかしのきょうのぼく,-,DECO*27,DECO*27,130,niconico&ボーカロイド,maimai GreeN PLUS,-,2,4,6,8+,10+,-,4-Sep-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
150,Ni Soku Ho Kou,二息歩行,Two Breaths Walking,DECO*27,DECO*27,180,niconico&ボーカロイド,maimai GreeN PLUS,-,3,4,6,8+,11+,-,20-Mar-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
151,Mozaik Role,モザイクロール,-,DECO*27,DECO*27,145,niconico&ボーカロイド,maimai GreeN,-,2,4,6,9,10+,-,23-Jan-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
152,Yowamushi Mont Blanc,弱虫モンブラン,Coward Mont Blanc,DECO*27,DECO*27,120,niconico&ボーカロイド,maimai GreeN,-,2,4,6,9,11,-,9-Jan-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
153,39,39,San-Kyu (Thank You),sasakure.UKxDECO*27,sasakure.UKxDECO*27,175,niconico&ボーカロイド,maimai PLUS,-,2,5,7+,9+,12,12,18-Mar-2013,5-Jul-2019,Yes,-,,,,,,,,,,,,,,,,,,,,
154,"*Hello, Planet.",＊ハロー、プラネット。,-,sasakure.UK,sasakure.UK,150,niconico&ボーカロイド,maimai GreeN,-,2,3,6,7+,11,-,14-Nov-2013,-,Yes,-,,,,,,,,,,,,,,,,,,,,
155,Mr. Wonderland,Mr. Wonderland,-,sasakure.UK,sasakure.UK,140,niconico&ボーカロイド,maimai PiNK PLUS,-,3,5,6,8+,12,-,14-Jul-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
