No.,Music(Eng),Music(JPN),Other name,Artist(Eng),Artist(JPN),BPM,Category,Version,Requirement,Easy,Basic,Advanced,Expert,Master,Re:Master,Add Date,Later Add Date,Rec. video,Memo,↓,Music(Eng),Music(JPN),Other name,Artist(Eng),Artist(JPN),BPM,Category,Version,Requirement,Easy,Basic,Advanced,Expert,Master,Re:Master,Add Date,Later Add Date,Memo,↑
14,-,にめんせい☆ウラオモテライフ！,-,-,土間うまる（田中あいみ）「干物妹！うまるちゃんR」,170,POPS&アニメ,maimai MiLK PLUS,-,2,4,6,9,10+,11,24-Jul-2018,-,-,Japan only,,SPELL MAGIC,SPELL MAGIC,-,Acid Black Cherry [PV],Acid Black Cherry [PV],180,POPS,maimai PLUS,-,2,5,7,9,10,-,13-Dec-2012,-,Removed(maimai PiNK),
15,-,うまるん体操,-,-,妹Ｓ「干物妹！うまるちゃんR」,170,POPS&アニメ,maimai MiLK PLUS,-,2,4,6,8,10,11,21-Jun-2018,-,-,Japan only,,Tsukematsukeru,つけまつける,-,Kyarypamyupamyu / きゃりーぱみゅぱみゅ [PV],Kyarypamyupamyu / きゃりーぱみゅぱみゅ [PV],145,POPS,maimai PLUS,-,1,4,7,8,9,-,13-Dec-2012,-,Removed(maimai PiNK),
16,Anti-clockwise,アンチクロックワイズ,-,After the Rain,After the Rain（そらる×まふまふ）,186,POPS&アニメ,maimai MiLK PLUS,-,3,5,7,9,10+,12,21-Jun-2018,-,Yes,-,,CANDY CANDY,CANDY CANDY,-,Kyarypamyupamyu / きゃりーぱみゅぱみゅ [PV],Kyarypamyupamyu / きゃりーぱみゅぱみゅ [PV],130,POPS,maimai PLUS,-,2,4,6,8,9,-,13-Dec-2012,-,Removed(maimai PiNK),
17,Genghis Khan,ジンギスカン,-,Niiyama Yukihiro Feat. GREAT G and surprise,仁井山征弘 Feat. GREAT G and surprise,150,POPS&アニメ,maimai MiLK PLUS,-,3,4,6,8+,12,-,6-Nov-2018,-,Yes,-,,THE RHYTHM SENSE TEST,全世界共通リズム感テスト,-,"☆Tap the buttons to the beat and get a high ""Achievement Rate"" ☆",☆リズムに合わせてボタンを叩き達成率を競うゲームです☆,120,ORIGINAL,maimai ORANGE PLUS,-,4,6,8,10,12,-,1-Apr-2015,1-Apr-2019,Removed(Due to event ending),
18,"NIJIYOMECHAN Exercise No 100,000,000",にじよめちゃん体操第一億,-,NIJIYOMECHAN and ZIPTAN,にじよめちゃんとZIPたん,120,POPS&アニメ,maimai MiLK PLUS,-,2,4,6,8,12,-,6-Nov-2018,-,Yes,-,,Nibunnoichi,ニブンノイチ,-,BACK-ON [cover],BACK-ON [cover],125,POPS&アニメ,maimai ORANGE PLUS,-,1,3,5,7+,10,-,19-Mar-2015,-,Removed(maimai PiNK PLUS),
19,Rodeo Machine,Rodeo Machine,-,HALFBY,HALFBY,115,POPS&アニメ,maimai MiLK PLUS,-,1,3,6,9+,12,-,11-Jul-2018,-,Yes,-,,Karma,カルマ,-,BUMP OF CHICKEN [cover],BUMP OF CHICKEN [cover],195,POPS&アニメ,maimai GreeN,-,2,5,7,7+,9+,-,11-Jul-2013,-,Removed(maimai PiNK PLUS),
20,REVIVER Hortensia SAGA Original Ver.,REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer. ,-,MY FIRST STORY,MY FIRST STORY,200,POPS&アニメ,maimai MiLK,-,2,5,7,9,12,-,14-Dec-2017,-,Yes,-,,Rewrite,リライト,-,ASIAN KUNG-FU GENERATION [cover],ASIAN KUNG-FU GENERATION [cover],179,POPS&アニメ,maimai GreeN,-,2,4,6,8,9+,-,11-Jul-2013,-,Removed(maimai PiNK PLUS),
21,YABAI〇〇,ヤバい〇〇,-,Sumire Uesaka,上坂すみれ,133,POPS&アニメ,maimai MiLK,-,2,4,6,9,11+,-,20-Feb-2018,-,Yes,-,,"Good-bye, Dear Sorrows",サラバ、愛しき悲しみたちよ,-,ももいろクローバーZ [PV],ももいろクローバーZ [PV],168,POPS&アニメ,maimai GreeN,-,2,4,6,8,10,-,11-Jul-2013,-,Removed(maimai PiNK PLUS),
22,Miracle Shopping,ミラクル・ショッピング,-,Maimi Tanaka,田中マイミ,167,POPS&アニメ,maimai MiLK,-,2,4,6,9,11,-,20-Feb-2018,-,Yes,-,,Butter-Fly,Butter-Fly,-,和田光司 [cover],和田光司 [cover],165,POPS&アニメ,maimai GreeN,-,1,5,6,9,10,-,11-Jul-2013,-,Removed(maimai PiNK PLUS),
23,nihon no kome ha sekaiichi,日本の米は世界一,-,UCHIKUBIGOKUMON-DOUKOUKAI,打首獄門同好会,138,POPS&アニメ,maimai MURASAKi PLUS,-,2,4,6,9,11+,-,5-Dec-2017,-,Yes,-,,Genesis of Aquarion,創聖のアクエリオン,-,AKINO [cover],AKINO [cover],151,POPS&アニメ,maimai GreeN,-,2,3,6,7,10+,-,11-Jul-2013,-,Removed(maimai PiNK PLUS),
